Feature,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251385,38.51546112256655,52,124,31.778876206507107,0.9999999999999998,0.8250940084912441
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum,37.90166442169091,47,59,31.724601528457217,0.5060606215331707,0.8370239674831115
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595,43.681569278286354,55,112,31.05997617514866,0.7181587844585126,0.7110544947978379
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515,35.162507146143994,51,91,30.967262852518676,0.63033647432078,0.8806898417058586
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp900550685,33.259193785649465,48,125,30.951314923247324,1.0,0.9306092962662873
breastfeeding_status_Exclusive,34.620041562885646,53,78,30.937156227500896,0.55,0.8936198465072618
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp900542875,37.65200312021773,49,123,30.85276892490008,0.8706769430646284,0.8194190579022153
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775,48.74360728307523,51,104,30.537768619844385,0.6460164954594415,0.6264979208965463
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus,42.028673525237416,48,97,30.314425670034424,0.636117953591138,0.7212796200153971
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus,36.91937242976877,51,86,30.229890017993885,0.5126819402046542,0.8188083390501776
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071 sp900541905,37.38075610242399,50,92,29.936899588160106,0.7531994178316181,0.8008639393524419
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45 sp000438375,35.886935135546295,49,115,29.898003595733005,0.7688815069680405,0.8331166616153519
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000435675,32.23530935841983,44,74,29.873215215147574,0.9999999999999999,0.9267233915143028
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus,34.00077548042091,45,76,29.794205610169517,0.40706538391489216,0.8762801785896408
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900552675,30.30300490363211,44,106,29.383516049017857,0.9600165174252759,0.9696568423646975
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UMGS1217;s__,31.75651586737075,43,122,29.199428654777194,1.0,0.9194783450655266
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E,33.11129514912935,48,119,28.976302925287765,0.8808323090677985,0.8751183786312777
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp900317525,30.40886982489953,44,112,28.79976502673933,0.9649611571384952,0.9470843603387514
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp000435655,40.90352469373628,49,109,28.67891086395978,0.7519826453821064,0.7011354419623279
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena innocuum,42.7797238335198,50,108,28.667082194370504,0.6290639990089979,0.6701090990192082
